,mode,median
1,5.0,5.0
2,1.0,3.0
3,5.0,5.0
4,5.0,6.0
5,3.0,4.0
6,4.0,4.0
7,2.0,2.5
8,3.0,3.5
9,2.0,2.0
10,3.0,3.0
11,3.0,3.0
12,2.0,2.0
13,6.0,6.0
14,6.0,6.0
15,2.0,2.0
16,7.0,7.0
17,4.0,5.5
18,7.0,7.0
19,7.0,6.0
20,1.0,1.0
21,2.0,2.0
22,5.0,5.0
23,2.0,5.0
24,7.0,7.0
25,5.0,5.5
26,4.0,5.0
27,5.0,5.0
28,5.0,5.0
29,2.0,6.0
30,3.0,3.0
31,2.0,2.0
32,5.0,6.0
33,,
34,7.0,7.0
35,6.0,6.0
36,3.0,3.0
37,7.0,7.0
38,4.0,5.5
39,4.0,5.0
40,5.0,5.0
41,1.0,1.0
42,5.0,5.5
43,6.0,6.5
44,3.0,3.0
45,6.0,6.0
46,4.0,5.5
47,4.0,4.0
48,5.0,6.0
49,3.0,4.5
50,7.0,6.5
51,4.0,5.0
52,5.0,6.0
53,5.0,5.5
54,7.0,7.0
55,4.0,4.0
56,3.0,3.0
57,7.0,7.0
58,2.0,2.0
59,1.0,1.5
60,1.0,1.0
61,6.0,6.0
62,2.0,3.5
63,2.0,5.0
64,6.0,6.0
65,4.0,4.0
66,7.0,7.0
67,3.0,3.0
68,2.0,2.5
69,2.0,2.5
70,3.0,3.0
71,4.0,4.5
72,4.0,5.5
73,1.0,5.0
74,2.0,2.0
75,5.0,5.0
76,3.0,3.0
77,5.0,5.0
78,2.0,2.0
79,3.0,3.0
80,3.0,3.5
81,6.0,6.0
82,3.0,4.0
83,7.0,7.0
84,7.0,7.0
