1,2,4,7,9,10,11,12,13,15,16,17,20,21,22,23,24,25,26,27,28,29,30,32,35,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,54,55,57,58,59,60,62,63,64,65,66,68,69,70,71,72,73,75,76,80,82,83,84
,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,2,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,,5,,,,,,,,,,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,2,,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,,5,2,,,,,,,,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,4,,,,,6,,,4,,,,,,6,,,,,,,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,7,,,,
,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,7,,,,6,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
,6,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,
,,,,2,1,,,7,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
,,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
