,mode,median
1,1.0,3.0
2,2.0,2.0
3,,
4,5.0,5.0
5,1.0,2.0
6,7.0,5.0
7,5.0,4.5
8,,
9,5.0,6.0
10,2.0,2.0
11,3.0,5.0
12,3.0,3.5
13,5.0,6.0
14,5.0,5.0
15,2.0,5.0
16,6.0,6.5
17,1.0,2.0
18,2.0,2.0
19,6.0,6.0
20,5.0,4.5
21,4.0,4.5
22,5.0,5.0
23,4.0,5.0
24,4.0,4.0
25,2.0,4.0
26,1.0,4.0
27,3.0,4.0
28,7.0,7.0
29,6.0,6.0
30,2.0,4.5
31,5.0,4.0
32,2.0,3.0
33,6.0,6.0
34,5.0,6.0
35,2.0,2.0
36,6.0,6.5
37,6.0,6.0
38,4.0,5.0
39,3.0,3.5
40,1.0,1.0
41,6.0,6.0
42,2.0,4.0
43,7.0,7.0
44,7.0,7.0
45,6.0,6.5
46,2.0,3.0
47,3.0,3.0
48,5.0,5.0
49,7.0,7.0
50,2.0,4.0
51,3.0,3.0
52,3.0,4.0
53,4.0,4.0
54,3.0,3.0
55,6.0,6.0
56,5.0,5.0
57,5.0,5.0
58,1.0,1.0
59,2.0,3.0
60,4.0,4.0
61,1.0,2.0
62,5.0,5.5
63,7.0,6.5
64,5.0,5.0
65,5.0,5.5
66,5.0,6.0
67,4.0,5.5
68,,
69,3.0,5.0
70,6.0,6.0
71,4.0,4.5
72,4.0,4.0
73,2.0,4.0
74,5.0,6.0
75,6.0,6.0
76,1.0,3.0
77,3.0,5.0
78,6.0,6.0
79,4.0,5.0
80,3.0,3.0
81,3.0,5.0
82,7.0,7.0
83,2.0,4.0
