,mode,median
1,5.0,5.0
2,2.0,2.0
3,4.0,4.0
4,3.0,3.0
5,3.0,4.0
6,4.0,4.0
7,1.0,2.0
8,4.0,4.5
9,2.0,3.0
10,1.0,1.0
11,4.0,4.0
12,1.0,1.0
13,6.0,6.0
14,4.0,4.0
15,1.0,2.0
16,5.0,5.5
17,3.0,3.0
18,7.0,7.0
19,4.0,4.5
20,1.0,1.0
21,3.0,3.0
22,7.0,6.5
23,2.0,3.0
24,5.0,6.0
25,7.0,7.0
26,7.0,7.0
27,7.0,7.0
28,2.0,3.0
29,2.0,3.0
30,3.0,3.0
31,4.0,5.0
32,5.0,6.0
33,4.0,4.0
34,7.0,7.0
35,5.0,5.5
36,4.0,5.0
37,3.0,5.0
38,6.0,6.0
39,5.0,5.5
40,3.0,3.0
41,1.0,1.0
42,5.0,6.0
43,6.0,6.5
44,2.0,4.0
45,6.0,6.0
46,2.0,5.5
47,7.0,6.0
48,5.0,6.0
49,5.0,5.5
50,5.0,5.5
51,4.0,5.0
52,6.0,6.0
53,4.0,5.5
54,6.0,6.5
55,5.0,5.0
56,5.0,5.0
57,1.0,4.0
58,2.0,2.5
59,1.0,1.5
60,4.0,4.0
61,5.0,5.0
62,4.0,4.0
63,6.0,6.0
64,6.0,6.0
65,3.0,3.5
66,7.0,7.0
67,3.0,3.0
68,4.0,4.0
69,2.0,2.0
70,2.0,4.0
71,4.0,4.0
72,6.0,6.0
73,7.0,6.0
74,2.0,2.0
75,5.0,5.0
76,3.0,5.0
77,5.0,5.0
78,2.0,2.0
79,2.0,4.0
80,2.0,2.0
81,4.0,5.5
82,3.0,5.0
83,7.0,6.0
84,6.0,6.5
