1,4,5,6,9,10,12,13,14,15,16,17,18,23,24,25,26,27,28,29,31,32,33,34,36,37,39,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,59,60,61,62,63,64,65,66,69,70,71,73,74,76,77,78,79,81,82
,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,3,,,,
,,,4,,,,,,,,,,,,,,,,6,,2,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,7,,,,,,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,
1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,
,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,3,5,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,5,,,,,,,,,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,
,5,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,3,,7,,,,,,,,,,,,,,,,,,,,7,,
,,,,5,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,5,2,,,,,,6,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,7,,,,,,,,,
,,,,,,,,3,,,,,,,,,,,,,,,5,,6,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,5,,,,5,,,,,,,4,
,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,7,,,,,,,,,,,,,,
