,mode,median
1,5.0,5.0
2,3.0,4.0
3,4.0,4.0
4,2.0,5.5
5,5.0,5.5
6,1.0,5.0
7,3.0,3.5
8,3.0,3.0
9,3.0,3.5
10,5.0,5.0
11,5.0,6.0
12,2.0,5.0
13,7.0,5.5
14,3.0,4.0
15,5.0,5.0
16,7.0,7.0
17,7.0,7.0
18,3.0,3.0
19,5.0,6.0
20,1.0,4.5
21,1.0,2.0
22,3.0,3.0
23,3.0,4.0
24,5.0,5.0
25,5.0,6.0
26,2.0,2.0
27,3.0,4.0
28,2.0,4.0
29,5.0,5.0
30,1.0,4.0
31,3.0,4.5
32,4.0,4.0
33,3.0,3.0
34,3.0,4.0
35,6.0,6.0
36,4.0,5.0
37,5.0,5.5
38,5.0,6.0
39,,
40,1.0,3.5
41,1.0,1.5
42,7.0,7.0
43,3.0,3.0
44,7.0,6.5
45,7.0,7.0
46,7.0,7.0
47,7.0,7.0
48,7.0,6.5
49,5.0,6.0
50,7.0,7.0
51,6.0,5.0
52,5.0,5.0
53,5.0,5.0
54,7.0,7.0
55,4.0,4.0
56,6.0,5.5
57,5.0,5.0
58,4.0,4.0
59,2.0,3.0
60,7.0,7.0
61,3.0,4.5
62,4.0,4.5
63,3.0,3.0
64,2.0,3.0
65,3.0,3.0
66,5.0,5.0
67,4.0,4.0
68,3.0,5.0
69,6.0,6.0
70,4.0,5.0
71,4.0,5.0
72,2.0,2.0
73,2.0,3.0
74,7.0,7.0
75,,
76,4.0,5.5
77,4.0,4.5
78,6.0,6.0
79,,
80,7.0,5.5
81,5.0,5.0
82,6.0,6.0
83,6.0,6.0
