1,2,4,7,8,9,10,11,12,13,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,35,36,37,40,42,43,44,45,46,47,48,50,51,52,53,54,55,57,58,59,60,62,63,64,65,66,68,69,70,73,75,76,79,80,81,82,83,84
,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6,,,
,,,,,2,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,,,
,,,,,,,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,5,,,,,,6,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,4,,,,,,,5,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,5,,3,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,5,,,,7,,,,,,5,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,6,,,,,,
,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,6,,,,,,,3,,,,,
,,,,,,,6,,,,7,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,,,,7,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,,,,6,,,
,,,,,2,3,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
